time,low,high,open,close,volume,iso_time,batch
1582218000,9503.29,9661.89,9637.38,9503.31,1043.84729072,2020-02-20 11:00:00,4
1582221600,9497.04,9561.42,9503.31,9527.42,1268.06936318,2020-02-20 12:00:00,4
1582225200,9527.4,9566.61,9527.42,9549.43,733.95639882,2020-02-20 13:00:00,4
1582228800,9549.41,9589.11,9549.43,9589.09,937.938997,2020-02-20 14:00:00,4
1582232400,9581.66,9619.01,9589.09,9618.99,790.95404113,2020-02-20 15:00:00,4
1582236000,9608.49,9645.54,9619.01,9631.87,771.93260094,2020-02-20 16:00:00,4
1582239600,3500.0,13000.0,9631.87,9622.25,250054.99809562,2020-02-20 17:00:00,4
1582243200,9579.99,9631.81,9622.25,9615.82,1416.879013,2020-02-20 18:00:00,4
1582246800,9596.82,9648.53,9615.82,9648.53,2157.185681,2020-02-20 19:00:00,4
1582250400,9643.53,9658.12,9648.51,9650.32,1572.980124,2020-02-20 20:00:00,4
1582254000,9630.41,9717.0,9650.32,9703.63,1503.5735,2020-02-20 21:00:00,4
1582257600,9701.43,9731.21,9703.65,9701.45,1204.26885833,2020-02-20 22:00:00,4
1582261200,9683.03,9710.97,9701.45,9690.57,1362.38155099,2020-02-20 23:00:00,4
1582264800,9682.87,9712.95,9690.57,9689.53,1355.31136099,2020-02-21 00:00:00,4
1582268400,9681.06,9748.22,9689.53,9688.06,543.837556,2020-02-21 01:00:00,4
1582272000,9626.94,9690.58,9688.06,9651.87,764.92192687,2020-02-21 02:00:00,4
1582275600,9635.74,9678.01,9651.87,9677.99,798.19366544,2020-02-21 03:00:00,4
1582279200,9674.09,9712.6,9677.99,9712.58,688.18977669,2020-02-21 04:00:00,4
1582282800,9706.43,9738.63,9712.58,9706.45,647.60048218,2020-02-21 05:00:00,4
1582286400,9706.43,9764.61,9706.45,9764.61,10518.07653341,2020-02-21 06:00:00,4
1582290000,9705.92,9766.51,9764.59,9745.28,337.39604941,2020-02-21 07:00:00,4
1582293600,9705.99,9913.57,9745.3,9705.99,634.74580263,2020-02-21 08:00:00,4
1582297200,9680.99,9743.36,9705.99,9743.34,963.80699896,2020-02-21 09:00:00,4
1582300800,9721.26,9747.92,9743.34,9747.9,1473.25867127,2020-02-21 10:00:00,4
1582304400,9718.91,9759.61,9747.9,9725.2,1354.95644005,2020-02-21 11:00:00,4
1582308000,9719.9,9729.71,9725.22,9719.9,1001.23384395,2020-02-21 12:00:00,4
1582311600,9688.43,9721.17,9719.9,9690.0,952.29142257,2020-02-21 13:00:00,4
1582315200,9636.31,9718.07,9690.01,9718.05,2005.57786976,2020-02-21 14:00:00,4
1582318800,9652.1,9721.04,9718.05,9652.12,1435.45672857,2020-02-21 15:00:00,4
1582322400,9652.1,9682.73,9652.12,9671.01,885.64394515,2020-02-21 16:00:00,4
1582326000,9670.99,9716.19,9671.01,9691.03,2157.155726,2020-02-21 17:00:00,4
1582329600,9691.01,9723.94,9691.03,9697.98,1359.98284832,2020-02-21 18:00:00,4
1582333200,9683.87,9699.02,9697.98,9684.75,1318.19674018,2020-02-21 19:00:00,4
1582336800,9658.4,9685.38,9684.75,9660.01,1376.462786,2020-02-21 20:00:00,4
1582340400,9659.99,9689.99,9660.01,9684.34,1397.91037499,2020-02-21 21:00:00,4
1582344000,9633.22,9686.73,9684.34,9633.22,2199.44264795,2020-02-21 22:00:00,4
1582347600,9629.45,9647.53,9633.22,9629.45,1975.71632031,2020-02-21 23:00:00,4
1582351200,9585.09,9629.47,9629.45,9620.0,1953.23284315,2020-02-22 00:00:00,4
1582354800,9610.04,9632.04,9620.0,9619.99,1472.05148578,2020-02-22 01:00:00,4
1582358400,9619.99,9658.03,9619.99,9657.03,1582.698714,2020-02-22 02:00:00,4
1582362000,9615.27,9661.71,9657.03,9625.89,1486.336,2020-02-22 03:00:00,4
1582365600,9625.87,9648.14,9625.89,9648.12,1066.7826,2020-02-22 04:00:00,4
1582369200,9640.86,9650.69,9648.12,9641.84,934.4759,2020-02-22 05:00:00,4
1582372800,9641.84,9683.75,9641.86,9664.23,11299.6101,2020-02-22 06:00:00,4
1582376400,9653.65,9670.63,9664.25,9665.97,1081.1407,2020-02-22 07:00:00,4
1582380000,9653.95,9666.23,9665.97,9661.61,2047.7644,2020-02-22 08:00:00,4
1582383600,9635.86,9661.61,9661.59,9642.92,1855.61778689,2020-02-22 09:00:00,4
1582387200,9625.24,9653.58,9642.94,9635.01,2191.39432029,2020-02-22 10:00:00,4
1582390800,9634.99,9686.59,9635.01,9663.96,2488.801678,2020-02-22 11:00:00,4
1582394400,9662.22,9681.69,9663.96,9676.67,1620.18392726,2020-02-22 12:00:00,4
1582398000,9676.67,9687.94,9676.69,9685.01,1537.19175845,2020-02-22 13:00:00,4
1582401600,9685.01,9709.99,9685.03,9702.24,3115.31462863,2020-02-22 14:00:00,4
1582405200,9702.0,9720.37,9702.25,9702.0,1413.73250629,2020-02-22 15:00:00,4
1582408800,9682.44,9704.39,9702.0,9682.46,946.52128915,2020-02-22 16:00:00,4
1582412400,9668.05,9696.47,9682.46,9675.02,2123.90089412,2020-02-22 17:00:00,4
1582416000,9672.24,9698.68,9675.0,9695.68,1714.96827354,2020-02-22 18:00:00,4
1582419600,9680.31,9697.51,9695.68,9680.31,2291.98617029,2020-02-22 19:00:00,4
1582423200,9680.31,9697.83,9680.33,9697.81,2299.65105369,2020-02-22 20:00:00,4
1582426800,9697.81,9812.63,9697.83,9812.61,2297.41618262,2020-02-22 21:00:00,4
1582430400,9812.61,9913.57,9812.61,9867.46,2407.08712262,2020-02-22 22:00:00,4
1582434000,9863.63,9911.62,9867.46,9911.6,2138.37598922,2020-02-22 23:00:00,4
1582437600,9910.93,9929.16,9911.6,9929.14,11515.4698953,2020-02-23 00:00:00,4
1582441200,9903.12,9929.16,9929.14,9918.84,1628.22322499,2020-02-23 01:00:00,4
1582444800,9907.13,9918.86,9918.84,9907.15,1017.026244,2020-02-23 02:00:00,4
1582448400,9907.13,9928.45,9907.15,9918.97,1725.855923,2020-02-23 03:00:00,4
1582452000,9905.19,9941.03,9918.97,9905.19,2009.885427,2020-02-23 04:00:00,4
1582455600,9874.37,9905.21,9905.19,9882.14,1929.623726,2020-02-23 05:00:00,4
1582459200,9867.5,9886.64,9882.14,9885.24,9016.25231054,2020-02-23 06:00:00,4
1582462800,9877.5,9900.01,9885.24,9899.99,1791.356608,2020-02-23 07:00:00,4
1582466400,9894.73,9928.21,9899.99,9928.19,1445.62634349,2020-02-23 08:00:00,4
1582470000,9888.0,9930.09,9928.21,9896.99,1721.025637,2020-02-23 09:00:00,4
1582473600,9884.58,9908.72,9896.99,9907.36,1663.27737586,2020-02-23 10:00:00,4
1582477200,9892.99,9912.2,9907.36,9893.01,1801.00082,2020-02-23 11:00:00,4
1582480800,9892.99,9919.72,9893.01,9908.5,2063.356338,2020-02-23 12:00:00,4
1582484400,7000.0,9915.15,9908.5,7700.0,67775.58031698,2020-02-23 13:00:00,4
1582488000,4174.7,20000.0,9499.82,9873.21,273802.82303003,2020-02-23 14:00:00,4
1582491600,8630.0,11121.47,9873.21,9885.85,465388.98506756,2020-02-23 15:00:00,4
1582495200,9885.02,9920.49,9885.85,9920.49,995.014285,2020-02-23 16:00:00,4
1582498800,9920.47,9991.34,9920.49,9970.0,1389.60796972,2020-02-23 17:00:00,4
1582502400,9970.0,10014.51,9970.02,9977.04,2104.05925069,2020-02-23 18:00:00,4
1582506000,9915.86,9977.06,9977.06,9915.86,2054.42107742,2020-02-23 19:00:00,4
1582509600,9724.99,9924.23,9915.86,9784.99,2497.91609442,2020-02-23 20:00:00,4
1582513200,9761.15,9798.8,9784.99,9784.98,1661.21268,2020-02-23 21:00:00,4
1582516800,9751.29,9785.0,9784.98,9758.9,1384.78306399,2020-02-23 22:00:00,4
1582520400,9746.23,9770.81,9758.9,9770.79,1245.6636107,2020-02-23 23:00:00,4
1582524000,9741.58,9775.47,9770.81,9741.58,1310.85053899,2020-02-24 00:00:00,4
1582527600,9692.51,9879.0,9741.58,9742.37,1512.2868774,2020-02-24 01:00:00,4
1582531200,9742.35,9773.61,9742.37,9769.58,864.1569,2020-02-24 02:00:00,4
1582534800,9709.97,9769.6,9769.58,9709.99,1860.03139245,2020-02-24 03:00:00,4
1582538400,9709.97,9754.69,9709.99,9754.69,947.7806,2020-02-24 04:00:00,4
1582542000,9754.67,9806.41,9754.69,9790.35,1581.2181,2020-02-24 05:00:00,4
1582545600,9790.33,9838.84,9790.35,9795.27,1571.17457174,2020-02-24 06:00:00,4
1582549200,9745.99,9806.41,9795.27,9746.01,1708.96981328,2020-02-24 07:00:00,4
